,review,sentiment
0,wonder one best musicals ever three busby berkely numbers end movie spectacular makes film wonderful incredible nonstop patter natural acting cagney blondell keeler also lovely even though may great actress freshness movie see flicks today much less usually stilted s films even though plot involving setting movies prologues quite dated,1
1,well caught tail end film hbo final minutes must say contains probably laughable depiction distance running ever put film serious distance runner dedicated fan sport sat many painful demonstrations movies however nothing could ever prepared shown screen final minutes movie literally defies belief depiction runners even ironic considering african runners completely dominate sport elegant graceful female protagonist shuffles along like overweight pregnant woman highly trained male supporters better well race alleged world class runner surrounded pudgy overweight people many walking find interesting director decided lead female competition yet near end shown passing people look like staggering along two broken legs believe amazing stellar athlete overtaken crippled person end race maybe director thinks female runners cannot run faster minute miles obviously never heard athletes like paula radcliffe tirunesh dibabaeven running fan astonished insanely inaccurate portrayal running movie watchable unintentional comedy note director next time decide make movie sport might worth hire least one person actually observed sport action,0
2,real weirdo starts another takeoff psycho shower scene campus gets crazier several coeds doofy boyfriends head south spring break trouble starts drive redneck county ruled homicidal sheriff dean one college cuties wanders woods witnesses murder sheriff head blown open let usripoff macon county linetime dean stalks traps slaughters witless witnesses one one tony march ontarget evil shotgunhappy dean movies overall tone truly disturbing ending abrupt almost think director ran film also study despair shallow grave must misanthropes misogynists nihilists world,1
3,thought movie pretty good parts corny understandable since made years ago thought best performance movie given michele morgan played millie convincingly jack haley also really good mike obrien even though big frank sinatra fan think good movie craving silly top musical comedy higher higher movie,1
4,doug mcclure starred british produced genre adventures one got worst lot know land time forgot critics please least movie featured location filming relatively good production values problem movie production values go way beyond bad good affectionate territory become bad think go see channels one case point first scene featuring intrepid cushing mcclure encountering monster painfully obvious monster average sized man dressed rubber monster made look twenty foot tall via overblown back projection becomes even painfully obvious heroes trying escape monster running spot mentioned one convincing set pieces really looks like filmed somebody living room spare change left years doctor budget even former doctor peter cushing bland amusing line cannot mesmerise british delivered flat way similar line spoken cushing horror express script devoid characterisation plotting memorable dialogue fact dialogue unmemorable also infrequent rare since monsters speak would better chief bad guys humanoids like warlords atlantis could explain plot anyone know plot actually tedious british movie even twin talents caroline munro save whole mood movie summed final sequence featuring two keystone cops,0
5,historical movies always take liberties conversations concocted one could actually know said customs adjusted comprehensible modern audiences etc however historical films actual historical personages make least minimal nod history film scene actually remember hero surprises assassin creeps chamber night confronts dangerous intruder remember sending room service main entertainment value badness recommended local video story put turkeys shelf,0
6,make brief joy watch may may effective characters resembled real life counterparts aside minor observation found fantasy animal characters enjoyable visuals stunning except secondrate cg scenes could left dislike computer generated animation anyways defeats purpose biopic one watch appreciate,1
7,never understood appeal show acting poor debra jo rupp notable exception plots episodes trite uninspiring dialogue weak jokes unfunny painful try sit even half episode furthermore link show s extremely tenuous beyond style dress scenery background used show seems nothing modern sitcom old unfunny clichéd scripts modern sitcoms dressed depicting show twenty years ago hope gain nostalgic viewers something like happy days wonder years employ technique much effectively actually pleasure watch contrast horrible pathetic excuse show,0
8,italian horror lovers seem hate movie since connection first two demons films demons iii title one would assume would problem film never intended part demons series distributors demons iii original title ogre cash films popularity new american dvd release picture title demons iii ogre box art film says ogre know past releases title demons iii actual film new release seems little white lie get past demons iii title might enjoyment ogre starts creep intro stays pretty creep throughout gore film movies slowly still dug expect like demons films give ogre italian fans try,1
9,first minutes movie makes fun sequels pg movies reasons movie bad constantly reference movie called get leo movieinamovie version get shorty every time really angry travolta cool neither keitel however rock vince vaughn hilarious kind funny would expect see elmore leonard movie though seen get shorty probably like cool liked get shorty leave theater wanting kill director screenwriter wait dvd,0
